Unnamed: 0,Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
109577,HGCWNAGQMMDZQU-UHFFFAOYNA-N,2964350,1813,0,,pubchem_screening,485358,9606,DRD2,1171,FC=1C=CC(NC(O)C2=CN(C(O)=C2)C3=CC(OC)=CC=C3)=CC1
160673,JVQOZQTVULNCBU-UHFFFAOYNA-N,3242203,1813,0,,pubchem_screening,485358,9606,DRD2,1171,O=C1N(N(C=2N=C(C=C(C21)C)C)CCC(OCC)=O)C3=CC=CC=C3
287936,BMBLOFIHDPHYHB-BSWXXNLSNA-N,5674353,1813,0,,pubchem_screening,485358,9606,DRD2,1171,O(C1=C(OC)C=C(C=C1OC)C(=O)N/N=C(\C=2C=CC=CC2)/C3=NC=CC=C3)C
229098,RUBXEDMQSGMJGH-LQFNOIFHNA-N,1147244,1813,0,,pubchem_screening,485358,9606,DRD2,1171,ClC1=CC(NC(=O)CN(CC=2OC=CC2)C(=O)C=3C=CC(=CC3)C)=CC=C1Cl
148248,CQGIOBTYJAEVJL-BDGWVKIONA-N,16016680,1813,0,,pubchem_screening,485358,9606,DRD2,1171,S1C(N(CC2=CC=CC=C2)C)=NN=C1NC(=O)NC3=C(CC)C=CC=C3
119220,MMTCWPHIHVTXLQ-UHFFFAOYNA-N,2990518,1813,0,,pubchem_screening,485358,9606,DRD2,1171,O1N=C(N=C1CN(C(C)C)C(=O)CC2=CC=CC=C2)C=3C=CC=CC3
247881,DPESJOLPNGRCIJ-UHFFFAOYNA-N,650523,1813,0,,pubchem_screening,485358,9606,DRD2,1171,S(CC(=O)N1CCCC=2C1=CC=CC2)C=3N(CC=4OC=CC4)C(=NN3)C5=C(OC=C5)C
228544,QSIMWKZWDDVHER-MRCUWXFGNA-N,4909006,1813,0,,pubchem_screening,485358,9606,DRD2,1171,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)COC3=CC=CC=C3)CC4=CC=CC=C4
62697,CTXDMWBPCBADRF-HCMHSPFZNA-N,6881993,1813,0,,pubchem_screening,485358,9606,DRD2,1171,O1C(=CC=C1)/C=C/C=N/NC(=O)C2=CC=CN=C2
313586,PPQMXRCXSQDNTH-UHFFFAOYNA-N,44142653,1813,0,,pubchem_screening,485358,9606,DRD2,1171,S1C(C=2C3=C(N(C2C4=CC(OC)=CC(OC)=C4)C)C=CC(=C3)C5=CC=C(N=C5)N(C)C)=CC=C1
33148,CUAJLIXPDPLUQQ-WYUMXYHSNA-N,2394340,1813,0,,pubchem_screening,485347,9606,DRD2,1171,S(C=1N=C2C(=CC1)C=CC=C2)CC(=O)NC(OCC)=O
331629,BHYCINSTHPVENH-VEORKLDJNA-N,3794229,1813,0,,pubchem_screening,485358,9606,DRD2,1171,FC(F)(F)C1(NC(=O)C2=C(C=CC=C2)C)C3C(=NC1=O)N(C(=O)NC3=O)C4=CC=C(F)C=C4
43460,MLOYLSJFWZFPEV-YHMJCDSINA-N,3810561,1813,0,,pubchem_screening,485358,9606,DRD2,1171,S(=O)(=O)(NCCC(=O)O)C1=CC=2OCCCOC2C=C1
1526,AAFUEGLNUSDCRU-UHFFFAOYNA-N,572680,1813,0,,pubchem_screening,485358,9606,DRD2,1171,O1CCN(CC1)CC#CCC(OCCC#N)C
213291,LQJDBOBVVOBVEI-QWOVJGMINA-N,4848508,1813,0,,pubchem_screening,485358,9606,DRD2,1171,ClC=1C=C(NS(=O)(=O)C2=C(OC)C=CC(=C2)C(O)=O)C(N3CCOCC3)=CC1
19167,LDZAUBWQXWGZKK-UHFFFAOYNA-N,658610,1813,0,,pubchem_screening,485358,9606,DRD2,1171,O1C2=C(C3=CCCCC3C1=O)C=CC(OCC(=O)C)=C2
200153,CTQGQBDXJCHYJB-UHFFFAOYNA-N,4830106,1813,0,,pubchem_screening,485358,9606,DRD2,1171,S(=O)(=O)(N1CCN(CC1)CCNS(=O)(=O)C2=CC=C(C=C2)C)C3=CC=C(OCC)C=C3
193567,ZRSLRYTUCRMAJR-NTCHUALANA-N,16406281,1813,0,,pubchem_screening,485358,9606,DRD2,1171,OC1C[C@H](N(C1)C(=O)CCC=2C=3C(NC2)=CC=CC3)C(=O)O
35662,FHWLUAALWWOHQO-WYUMXYHSNA-N,3236125,1813,0,,pubchem_screening,485358,9606,DRD2,1171,FC1=CC=C(C=2ON=C(C(=O)NCCCC)C2)C=C1
145690,ASQNSOVYMSSMNP-PKSOQXRJNA-N,2524725,1813,0,,pubchem_screening,485358,9606,DRD2,1171,FC=1C(OCC(=O)NC2=CC=C(C(=O)N(CC)CC)C=C2)=CC=CC1
221017,OHVCAECOGGZUAS-UHFFFAOYNA-N,16031104,1813,0,,pubchem_screening,485358,9606,DRD2,1171,ClC1=CC=C(C2N(CCC3=C2NC=4C3=CC=CC4)C(=O)CCC5CCCC5)C=C1
181754,SVKUNYYLAQATJF-WYUMXYHSNA-N,2229382,1813,0,,pubchem_screening,485358,9606,DRD2,1171,S1C(=NN=C1NC(=O)C=2C(N(=O)=O)=CC(OC)=C(OC)C2)CCOCC
183596,VJRWOWBURJRJGP-QDYITYEQNA-N,2488755,1813,0,,pubchem_screening,485358,9606,DRD2,1171,S1C(NC(=O)CSC=2SC(=NN2)N)=C(C(C=3OC=CC3)=C1)C(OCC)=O
159907,JBEZWUVZLJXVKU-RBAPIWLKNA-N,5772268,1813,0,,pubchem_screening,485358,9606,DRD2,1171,O(C1=CC=C(N(=O)=O)C=C1)CC(O/N=C(\N)/C=2C=CN=CC2)=O
43921,KWGXYCJSFIWWRM-UHFFFAOYNA-N,4572841,1813,0,,pubchem_screening,485358,9606,DRD2,1171,FC=1C=CC(C=2OC(NCCCN3C=CN=C3)=C(N2)C#N)=CC1
